date,title,artist,peak_pos,last_week,weeks,rank,change,spotifyLink,spotifyID,videoLink,all_genre,main_genre
2019-05-04,Slide,french montana,42,97,20,90,,,,,"[u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-05-04,Saturday Nights,khalid,43,88,4,91,,,,,"[u'alternative r&b', u'pop']",[u'pop']
2019-05-04,Pure Cocaine,lil baby,79,99,9,92,,,,,"[u'atl hip hop', u'atl trap', u'pop rap', u'rap', u'trap']",[u'trap']
2019-05-04,This Is It,scotty mccreery,67,87,9,94,,,,,"[u'contemporary country', u'country', u'country road', u'modern country rock']",[u'modern country rock']
2019-05-04,My Strange Addiction,billie eilish,NA,,NA,95,,,,,"[u'electropop', u'pop']",[u'pop']
2019-05-04,Let Me Down Slowly,alec benjamin,NA,,NA,97,,,,,[u'pop'],[u'pop']
2019-05-04,Xanny,billie eilish,NA,,NA,98,,,,,"[u'electropop', u'pop']",[u'pop']
2019-05-04,One That Got Away,michael ray,NA,,NA,99,,,,,"[u'contemporary country', u'country pop', u'country road', u'modern country rock']",[u'modern country rock']
2019-05-11,Youngblood,5 seconds of summer,7,50,48,50,,,,,"[u'boy band', u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop']
2019-05-11,Floating,schoolboy q,27,66,11,67,,,,,"[u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap', u'underground hip hop']",[u'underground hip hop']
2019-05-11,CHopstix,schoolboy q + travis scott,84,84,11,85,,,,,,unknown
2019-05-11,Light It Up,"marshmello, tyga",54,-,4,90,,,,,,unknown
2019-05-11,Numb Numb Juice,schoolboy q,NA,,NA,95,,,,,"[u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap', u'underground hip hop']",[u'underground hip hop']
2019-05-11,Love Me Anyway,p!nk,NA,,NA,96,,,,,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop']
2019-05-11,Stop Snitching,yg,NA,,NA,98,,,,,"[u'cali rap', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-05-11,Kill This Love,blackpink,NA,,NA,100,,,,,"[u'k-pop', u'k-pop girl group']",[u'k-pop girl group']
2019-05-18,Close To Me,ellie goulding,29,43,43,43,,,,,"[u'dance pop', u'edm', u'metropopolis', u'pop', u'post-teen pop', u'tropical house', u'uk pop']",[u'uk pop']
2019-05-18,You Say,lauren daigle,28,42,4,45,,,,,"[u'ccm', u'christian music', u'worship']",[u'worship']
2019-05-18,Swervin,a boogie wit da hoodie,42,54,18,63,,,,,"[u'melodic rap', u'pop rap', u'rap', u'trap']",[u'trap']
2019-05-18,Power Is Power,"sza, the weeknd",68,89,11,90,,,,,,unknown
2019-05-18,Middle Child,pnb rock,87,93,11,91,,,,,"[u'melodic rap', u'pop rap', u'rap', u'trap']",[u'trap']
2019-05-18,I've Been Waiting,lil peep,NA,,NA,95,,,,,"[u'emo rap', u'lgbtq+ hip hop']",[u'lgbtq+ hip hop']
2019-05-18,Secreto,anuel aa,NA,,NA,97,,,,,"[u'latin', u'reggaeton flow', u'trap latino']",[u'trap latino']
2019-05-18,Faucet Failure,ski mask the slump god,NA,,NA,100,,,,,"[u'miami hip hop', u'rap', u'trap', u'underground hip hop']",[u'underground hip hop']
2019-05-25,Be Alright,dean lewis,38,38,13,44,,,,,"[u'australian pop', u'pop']",[u'pop']
2019-05-25,Drip Too Hard,lil baby,14,46,16,46,,,,,"[u'atl hip hop', u'atl trap', u'pop rap', u'rap', u'trap']",[u'trap']
2019-05-25,"Thank U, Next",ariana grande,50,60,5,49,,,,,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop']
2019-05-25,Baby Shark,pinkfong,28,47,5,57,,,,,"[u'cartoon', u""children's music""]","[u""children's music""]"
2019-05-25,Make It Sweet,old dominion,83,84,3,80,,,,,"[u'contemporary country', u'country road']",[u'country road']
